Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,141.36,-86.07,90.0,bottom
C1,127.27,-80.14,0.0,bottom
C10,131.19,-86.57,0.0,bottom
C11,127.27,-81.14,0.0,bottom
C12,140.08,-79.93,180.0,bottom
C13,136.12,-83.33,0.0,top
C14,136.12,-84.38,0.0,top
C15,126.41,-86.99,0.0,bottom
C16,124.84,-81.81,90.0,bottom
C17,127.31,-77.96,0.0,bottom
C18,127.22,-79.14,270.0,top
C19,136.12,-82.24,180.0,top
C2,138.79,-77.92,180.0,bottom
C20,127.23,-77.2,90.0,top
C21,122.4,-77.18,90.0,top
C22,136.12,-81.17,180.0,top
C23,136.13,-80.14,0.0,top
C24,136.12,-79.1,0.0,top
C25,136.11,-78.09,0.0,top
C26,129.56,-78.78,180.0,top
C27,129.56,-77.72,0.0,top
C3,138.79,-78.93,180.0,bottom
C4,137.36,-76.39,90.0,bottom
C5,136.31,-76.39,90.0,bottom
C6,131.64,-76.34,90.0,bottom
C7,135.24,-76.39,90.0,bottom
C8,140.09,-80.92,180.0,bottom
C9,137.85,-86.07,270.0,bottom
D2,129.835,-75.72,180.0,top
D3,126.095,-82.24,0.0,top
D4,126.085,-83.3,0.0,top
D5,126.08,-84.35,0.0,top
IC1,124.8,-78.15,270.0,top
J1,119.19,-81.51,270.0,top
R1,131.64,-86.75,90.0,top
R10,128.06,-84.35,0.0,top
R11,121.81,-82.79,180.0,top
R15,127.29,-76.96,0.0,bottom
R17,127.29,-82.17,0.0,bottom
R18,127.72,-75.69,180.0,top
R2,128.06,-82.25,0.0,top
R3,140.27,-86.08,90.0,bottom
R4,136.11,-86.74,90.0,top
R5,139.2,-86.09,90.0,bottom
R6,134.28,-86.73,90.0,top
R7,121.82,-81.73,180.0,top
R8,121.83,-80.66,180.0,top
R9,128.06,-83.31,0.0,top
RST1,127.32,-78.95,0.0,bottom
U1,132.660843,-81.727798,90.0,bottom
U2,139.72,-82.78,0.0,bottom
U3,132.66,-81.74,180.0,top
U4,124.1462,-78.860001,270.0,bottom
Y1,125.93,-84.67,0.0,bottom
